# España: Datos de población del INE, a 1 de Enero (Detalle municipal)
#   http://www.ine.es/jaxiT3/Tabla.htm?t=2892&L=0
1,Adeje,2015,45405
1,Adeje,2016,47316
1,Adeje,2017,46833
2,Adeje,2015,45405
2,Adeje,2016,47316
2,Adeje,2017,46833
